team,avg_acs,avg_rating,avg_adr,avg_kills,avg_deaths
100 Thieves,198.102,1.027,4.8,14.956,7.717
All Gamers,197.652,0.987,5.1,13.876,7.01
BBL Esports,190.029,0.949,5.129,14.371,6.571
Bilibili Gaming,198.915,1.018,4.933,14.618,7.552
Cloud9,191.643,0.954,4.843,14.5,6.571
DetonatioN FocusMe,194.406,0.954,4.831,14.45,7.162
Dragon Ranger Gaming,200.963,1.007,4.707,14.302,6.958
EDward Gaming,203.243,1.033,4.745,14.688,7.433
ENVY,194.264,0.946,5.0,14.584,6.792
Eternal Fire,199.861,1.008,4.174,15.557,7.817
Evil Geniuses,188.104,0.942,4.93,14.73,6.635
FNATIC,198.665,1.024,5.038,15.87,8.216
FULL SENSE,201.376,1.018,5.006,14.667,7.473
FURIA,192.0,0.96,4.492,13.757,6.962
FUT Esports,190.206,0.941,4.755,14.832,7.316
FunPlus Phoenix,186.44,0.927,5.32,13.2,6.512
G2 Esports,203.551,1.047,4.67,15.021,7.193
GIANTX,187.632,0.952,4.184,14.432,6.68
Gen.G,193.992,0.956,4.658,15.442,7.058
Gentle Mates,196.248,1.01,4.829,14.895,7.69
Global Esports,201.211,1.018,4.692,15.276,7.124
JDG Esports,194.897,0.977,4.959,14.048,6.533
KRÜ Esports,191.325,0.965,4.425,13.967,6.767
Karmine Corp,190.192,0.955,4.725,13.9,7.1
Kiwoom DRX,195.067,0.983,4.667,14.806,7.789
LEVIATÁN,200.389,1.038,4.611,14.784,7.384
LOUD,187.227,0.919,4.864,13.618,7.445
MIBR,193.976,0.98,4.527,14.194,6.994
NRG,197.589,1.04,4.498,14.621,7.214
Natus Vincere,193.84,0.98,5.008,14.768,6.904
Nongshim RedForce,200.615,1.026,4.477,15.154,7.687
Nova Esports,182.659,0.875,4.871,12.84,6.067
PCIFIC Esports,181.84,0.908,4.22,13.87,6.98
Paper Rex,207.666,1.06,4.96,15.56,7.323
Rex Regum Qeon,194.265,0.996,5.092,15.016,7.665
Sentinels,191.84,0.958,4.85,15.52,7.35
T1,202.844,1.04,4.61,15.376,7.795
TYLOO,206.332,1.028,4.971,15.195,7.319
Team Heretics,201.017,1.04,4.822,14.904,7.248
Team Liquid,197.036,0.996,4.68,15.089,7.431
Team Secret,186.6,0.911,4.253,13.8,6.895
Team Vitality,201.874,1.049,5.058,15.126,7.384
Titan Esports Club,196.994,1.0,4.916,15.343,7.864
Trace Esports,194.381,0.985,4.631,14.985,7.63
ULF Esports,181.733,0.835,4.644,12.556,7.222
VARREL,185.95,0.897,5.69,15.11,7.63
Wolves Esports,188.8,0.948,4.862,13.504,6.139
Xi Lai Gaming,205.437,1.031,4.51,14.824,7.392
ZETA DIVISION,185.722,0.894,4.426,13.261,6.774
